DTXSID,true_chemname,true_cas
DTXSID2094392,"Hexanedioic acid, polymer with 1,2,3-propanetriol",27380-79-6
DTXSID9094321,"2-Propenoic acid, 2-methyl-, 2-oxiranylmethyl ester, polymer with chloroethene and ethenyl acetate",26781-49-7
DTXSID5094650,"2-Propenoic acid, 2-methyl-, 2-oxiranylmethyl ester, polymer with chloroethene and 1,1-dichloroethene",31668-42-5
DTXSID70880371,Hexafluoropropene tetrafluoroethylene polymer,25067-11-2
DTXSID6094564,"1,3-Propanediol, 2-ethyl-2-(hydroxymethyl)-, polymer with 1,6-diisocyanatohexane",30322-28-2
DTXSID2094893,"1,3-Benzenedicarboxylic acid, polymer with 1,6-hexanediol",40374-66-1
DTXSID4028337,Polyisobutenylsuccinic anhydride,67762-77-0
DTXSID50904988,"2-Methyl-1,3-butadiene homopolymer",9003-31-0
DTXSID40947900,"Benzene, ethenyl-, polymer with 2-methyl-1,3-butadiene",25038-32-8
DTXSID101009676,"2-Butenedioic acid (2Z)-, polymer with chloroethene and ethenyl acetate",9005-09-8
DTXSID60891911,"2,5-Furandione, polymer with 1-propene",25722-45-6
DTXSID201009736,"2,5-Furandione, polymer with ethenylbenzene",9011-13-6
DTXSID201011690,"2,5-Furandione, polymer with ethenylbenzene, 2-butoxyethyl ester, ammonium salt",68890-80-2
DTXSID501012485,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,1-dichloroethene and 2-methyl-2-propenenitrile",32335-23-2
DTXSID601011066,"2-Propenoic acid, methyl ester, homopolymer",9003-21-8
DTXSID7094711,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,1-dichloroethene and methyl 2-propenoate",34364-83-5
DTXSID801011193,"2-Propenoic acid, methyl ester, polymer with chloroethene",25035-98-7
DTXSID5049815,Vinylidene chloride/methylacrylate copolymer,25038-72-6
DTXSID501009747,"Benzene, ethenylmethyl-, homopolymer",9017-21-4
DTXSID3094042,"Benzene, 1-ethenyl-4-methyl-, homopolymer",24936-41-2
DTXSID60858847,Polyoxyethylene monohexadecyl ether,9004-95-9
DTXSID80894424,"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-[[(9Z)-1-oxo-9-octadecen-1-yl]oxy]-, ether with D-glucitol (6:1)",57171-56-9
DTXSID301018687,Polybutylene terephthalate,24968-12-5
DTXSID70948945,Phenol--ethenylbenzene (1/1),26062-78-2
DTXSID20895091,"1,4-Benzenedicarbonyl dichloride, polymer with 1,4-benzenediamine",26125-61-1
DTXSID60872523,Polyphosphoric acids,8017-16-1
DTXSID5094101,"1-Propene, polymer with chloroethene",25119-90-8
DTXSID90904987,"Poly(oxymethyl-1,2-ethanediyl), alpha-hydro-omega-hydroxy-, hexanedioate",42615-42-9
DTXSID70897060,"Sorbitan, monohexadecanoate, poly(oxy-1,2-ethanediyl) derivs.",9005-66-7
DTXSID7047724,Polytetrafluoroethylene,9002-84-0
DTXSID7047805,4-tert-Butylphenol formaldehyde resin,25085-50-1
DTXSID60894806,"1,4-Benzenedicarboxylic acid, polymer with 1,4-butanediol",26062-94-2
DTXSID30108407,"Hexanedioic acid, polymer with N1,N2-bis(2-aminoethyl)-1,2-ethanediamine",25085-21-6
DTXSID80950998,"Hexanedioic acid--2-ethyl-2-(hydroxymethyl)propane-1,3-diol (1/1)",28301-90-8
DTXSID001010896,Poly(oxymethylene),9002-81-7
DTXSID5031929,Polyurethane,9009-54-5
DTXSID30895103,"Acetic acid ethenyl ester, polymer with chloroethene",9003-22-9
DTXSID2095231,Polyvinyl butyral resin,63148-65-2
DTXSID5025940,Polyvinyl chloride,9002-86-2
DTXSID501011118,"Ethene, 1,1'-[methylenebis(oxy)]bis-, homopolymer",9003-33-2
DTXSID3051250,Polyvinylidene chloride,9002-85-1
DTXSID301011093,"Propane, 1-(ethenyloxy)-2-methyl-, homopolymer",9003-44-5
DTXSID801010969,"Ethene, methoxy-, homopolymer",9003-09-2
DTXSID4093807,"Octadecanoic acid, ethenyl ester, homopolymer",9003-95-6
DTXSID801014842,Potassium abietate,23250-44-4
DTXSID40883096,"2-Propenoic acid, potassium salt (1:1)",10192-85-5
DTXSID5026178,Potassium dichloroisocyanurate,2244-21-5
DTXSID0067054,"Phenol, 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]bis-, dipotassium salt",25088-69-1
DTXSID9094820,"Lignosulfonic acid, potassium salt",37314-65-1
DTXSID3064801,Potassium pentachlorophenate,7778-73-6
DTXSID50159618,Potassium piperidine-1-dithiocarboxylate,136-04-9
DTXSID601011028,"Phosphoric acid, potassium salt (1:?)",16068-46-5
DTXSID50186368,Potassium propionate,327-62-8
DTXSID5042322,Potassium ricinoleate,7492-30-0
DTXSID201009550,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.,.alpha.'-[(1-methylethylidene)di-4,1-phenylene]bis[.omega.-hydroxy-",37353-75-6
DTXSID30100643,"Fatty acids, tall-oil, diesters with polypropylene glycol",68648-12-4
DTXSID80894388,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-hydro-.omega.-hydroxy-, ether with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol (3:1)",25723-16-4
DTXSID6051221,"Acrylic acid, with sodium-2-acrylamido-2-methyl-1-propanesulfonate and sodium phosphinate",110224-99-2
DTXSID8021197,beta-Propiolactone,57-57-8
DTXSID6061288,"2-Propenoic acid, propyl ester",925-60-0
DTXSID10703338,"2-Methylprop-2-enoic acid--propane-1,2-diol (2/1)",7559-82-2
DTXSID101014584,Dipropyl maleate,2432-63-5
DTXSID2025973,Propyl methacrylate,2210-28-8
DTXSID0059405,"9-Octadecenoic acid (9Z)-, propyl ester",111-59-1
DTXSID60102271,"9-Octadecenoic acid (9Z)-, propyl ester, sulfated",68954-62-1
DTXSID60891956,"Pulp, cellulose",65996-61-4
DTXSID70891982,Pumpkin seed oil,8016-49-7
DTXSID1026536,"1H,3H-Benzo(1,2-c:4,5-c')difuran-1,3,5,7-tetrone",89-32-7
DTXSID9028912,"Quaternary ammonium compounds, bis(hydrogenated tallow alkyl)dimethyl, salts with bentonite",68953-58-2
DTXSID8099708,"Rape oil, polymd., oxidized",68554-11-0
DTXSID50104825,"Rape oil, Me ester",73891-99-3
DTXSID4097201,"Rape oil, sulfurized",68153-37-7
DTXSID8093607,Limonite,1317-63-1
DTXSID1038878,Resorcinol monobenzoate,136-36-7
DTXSID7058701,Retene,483-65-8
DTXSID10102640,"Fats and Glyceridic oils, rice bran, sulfated",68989-94-6
DTXSID0093710,"Fats and Glyceridic oils, rice bran, sulfated, sodium salts",8016-59-9
DTXSID1028077,"Resin acids and Rosin acids, aluminum salts",61789-65-9
DTXSID40100750,"Resin acids and Rosin acids, ammonium salts",68649-89-8
DTXSID80102399,"Resin acids and Rosin acids, cobalt salts",68956-82-1
DTXSID5093761,"Rosin, decarboxylated",8050-18-8
DTXSID70100667,"Resin acids and Rosin acids, dimers, calcium salts",68648-50-0
DTXSID5028295,"Resin acids and Rosin acids, hydrogenated, esters with glycerol",65997-13-9
DTXSID9028124,"Resin acids and Rosin acids, hydrogenated, esters with pentaerythritol",64365-17-9
DTXSID7098408,"Resin acids and Rosin acids, magnesium salts",68440-56-2
DTXSID2093825,"Resin acids and Rosin acids, manganese salts",9008-34-8
DTXSID0028406,"Resin acids and Rosin acids, Me esters",68186-14-1
DTXSID8098782,"Resin acids and Rosin acids, polymd., esters with ethylene glycol",68475-38-7
DTXSID6095534,"Resin acids and Rosin acids, polymd., esters with pentaerythritol",65997-12-8
DTXSID30100305,"Resin acids and Rosin acids, zirconium salts",68607-35-2
DTXSID9045843,Salicyl alcohol,90-01-7
DTXSID8029315,"4-(Butan-2-yl)-2,6-di-tert-butylphenol",17540-75-9
DTXSID20863073,Isobutyl methacyrlate,2998-18-7
DTXSID6034891,Silica gel,63231-67-4
DTXSID1052822,"Siloxanes and Silicones, di-Me, 3-hydroxypropyl Me, ethoxylated propoxylated",68937-55-3
DTXSID4042383,Silver fluoride,7775-41-9
DTXSID8042399,Sodium abietate,14351-66-7
DTXSID50892018,Sodium D-glycero-D-guloheptanoate,13007-85-7
DTXSID10998944,"Sodium 1,4-bis[(2,6-dimethylheptan-4-yl)oxy]-1,4-dioxobutane-2-sulfonate",7775-05-5
DTXSID7050408,Sodium ditridecylsulfosuccinate,2673-22-5
DTXSID0042400,Sodium hexyldecyl sulfate,1120-01-0
DTXSID6044800,Sodium dibutylcarbamodithioate,136-30-1
DTXSID6041848,Dibutylnaphthalenesulfonic acid sodium salt,25417-20-3
DTXSID8027826,Dicyclohexyl sodium sulfosuccinate,23386-52-9
DTXSID10889363,"Butanedioic acid, 2-sulfo-, 1,4-dipentyl ester, sodium salt (1:1)",922-80-5
DTXSID70952062,Sodium dioctadecyl phosphate,2958-14-7
DTXSID501015746,Sodium ethylenebis(dithiocarbamate),22124-95-4
DTXSID001011420,"Glycine, N,N'-1,2-ethanediylbis[N-(carboxymethyl)-, sodium salt (1:?)",7379-28-4
DTXSID7027120,Sodium hydroxymethanesulfinate,149-44-0
DTXSID3029738,Sodium hydrosulfide,16721-80-5
DTXSID1026035,Sodium 2-mercaptobenzothiolate,2492-26-4
DTXSID801015640,N-Oleyl-N-methyltaurine sodium salt,7346-80-7
DTXSID4042416,Sodium myristyl sulfate,1191-50-0
DTXSID2027595,Sodium 1-octanesulfonate,5324-84-5
DTXSID9042411,Sodium oleyl sulfate,1847-55-8
DTXSID10872533,Sodium monohydrogen phosphate heptahydrate (2:1:7),7782-85-6
DTXSID9051296,Sodium sulfide [Na2(Sx)],1344-08-7
DTXSID4042418,Sodium tridecyl sulfate,3026-63-9
DTXSID4044537,Sodium triisopropyl naphthalene sulfonate,1323-19-9
DTXSID301011136,"Ethenesulfonic acid, sodium salt (1:1), homopolymer",9002-97-5
DTXSID00872901,Sorbitan,12441-09-7
DTXSID9099616,"Glycerides, soya di-",68553-04-8
DTXSID4099617,"Glycerides, soya di-, hydrogenated",68553-05-9
DTXSID2028436,Soybean fatty acids,68308-53-2
DTXSID3096907,"Fatty acids, soya, calcium salts",68131-65-7
DTXSID30101812,"Fatty acids, soya, Me esters",68919-53-9
DTXSID2095152,"Fatty acids, soya, sodium salts",61790-25-8
DTXSID20100677,"Soybean oil, maleated",68648-66-8
DTXSID6097520,"Glycerides, soya mono-",68201-47-8
DTXSID401011022,"Glycerides, soya mono-, hydrogenated",61789-08-0
DTXSID6097158,"Soybean oil, polymd., oxidized",68152-81-8
DTXSID1093674,Spermaceti,8002-23-1
DTXSID7098400,"Sperm oil, polymd., oxidized",68440-47-1
DTXSID70102641,"Sperm oil, sulfated",68989-95-7
DTXSID5093711,"Sperm oil, sulfated, sodium salts",8016-76-0
DTXSID1027138,"Hexanoic acid, 2-ethyl-, tin(2+) salt",301-10-0
DTXSID60220222,"Tin distearate, pure",6994-59-8
DTXSID20884389,Stannous sulfate,7488-55-3
DTXSID0026046,Stearatochromic chloride complex,15242-96-3
DTXSID8059716,"Glycine, N-methyl-N-(1-oxooctadecyl)-",142-48-3
DTXSID0026048,Octadecyl hexadecanoate,2598-99-4
DTXSID5062639,Stearyl stearate,2778-96-3
DTXSID20195321,"N1-Octadecyl-1,3-propanediamine",4253-76-3
DTXSID0063739,"Benzoxazole, 2-[4-[2-[4-(2-benzoxazolyl)phenyl]ethenyl]phenyl]-5-methyl-",5242-49-9
DTXSID001009166,Poly(styrene-isobutylene),12/5/9011
DTXSID4094168,"2-Propenoic acid, 2-methyl-, 2-methylpropyl ester, polymer with ethenylbenzene",25667-93-0
DTXSID70948142,But-2-enedioic acid--ethenylbenzene (1/1),25300-64-5
DTXSID8094176,"2,5-Furandione, polymer with ethenylbenzene, sodium salt",25736-61-2
DTXSID60892029,"2-?Propenoic acid, 2-?methyl-?, polymer with ethenylbenzene",9010-92-8
DTXSID5094078,"2-Propenoic acid, 2-methyl-, polymer with ethenylbenzene, potassium salt",25068-00-2
DTXSID801009677,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with ethenylbenzene",25034-86-0
DTXSID6024464,4-Aminobenzenesulfonic acid,121-57-3
DTXSID6044775,2-[(2-Methylacryloyl)oxy]ethanesulfonic acid,10595-80-9
DTXSID2061981,"2-Propenoic acid, 2-methyl-, 2-sulfoethyl ester, sodium salt",1804-87-1
DTXSID3027037,Sulfolane,126-33-0
DTXSID6029707,Sulfuryl chloride,7791-25-5
DTXSID7095868,"Fatty acids, tall-oil, Bu esters",67762-63-4
DTXSID6097318,"Fatty acids, tall-oil, calcium salts",68154-86-9
DTXSID0028404,Tall-oil fatty acid DEA,68155-20-4
DTXSID20104731,"Fatty acids, tall-oil, dimers",73138-53-1
DTXSID8097841,"Fatty acids, tall-oil, isooctyl esters",68333-78-8
DTXSID0028292,"Fatty acids, tall-oil, low-boiling",65997-03-7
DTXSID5029394,"Fatty acids, tall-oil, magnesium salts",67701-23-9
DTXSID9049615,"Fatty acids, tall-oil, ethoxylated",61791-00-2
DTXSID6028107,"Fatty acids, tall-oil, diesters with polyethylene glycol",61791-01-3
DTXSID4028098,"Fatty acids, tall-oil, potassium salts",61790-44-1
DTXSID8097211,"Fatty acids, tall-oil, Pr esters",68153-56-0
DTXSID9028099,"Fatty acids, tall-oil, sodium salts",61790-45-2
DTXSID40102678,"Fatty acids, tall-oil, sulfated",68990-50-1
DTXSID8097215,"Fatty acids, tall-oil, sulfonated",68153-61-7
DTXSID8095146,"Fatty acids, tall-oil, zinc salts",61790-11-2
DTXSID0057594,"Glycerides, tall-oil",68309-32-0
DTXSID0028290,"Tall oil, sodium salt",65997-01-5
DTXSID101010968,"Alcohols, tallow, ethoxylated",61791-28-4
DTXSID7095155,"Amides, tallow, hydrogenated",61790-31-6
DTXSID9028093,"Amines, tallow alkyl",61790-33-8
DTXSID0049604,Ethoxylated hydrogenated tallow alkylamines,61790-82-7
DTXSID70101715,"Tallow, oxidized",68918-10-5
DTXSID8028264,"Fatty acids, tallow, calcium salts",64755-01-7
DTXSID8028393,"Amides, tallow, N,N-bis(hydroxyethyl)",68140-08-9
DTXSID2095108,"Fatty acids, tallow, 2-(2-hydroxyethoxy)ethyl esters",61788-87-2
DTXSID8098443,"Tallow, hydrogenated, esters with diethylene glycol",68441-01-0
DTXSID2095156,"Fatty acids, tallow, potassium salts",61790-32-7
DTXSID6027711,"Fatty acids, tallow, sodium salts",8052-48-0
DTXSID7028067,"Monoglycerides, hydrogenated tallow",61789-09-1
DTXSID201010923,"Monoglycerides, tallow",61789-13-7
DTXSID80103624,"Tallow, sulfated",70900-12-8
DTXSID10892256,Sodium tallow alcohol sulfate,8052-50-4
DTXSID5093765,"Tallow, sulfonated",8052-51-5
DTXSID5095171,"Fatty acids, tallow, compds. with triethanolamine",61790-67-8
DTXSID8029652,tert-Butyl acrylate,1663-39-4
DTXSID0027808,"Phosphorous acid, 2-(1,1-dimethylethyl)-4-[1-[3-(1,1-dimethylethyl)-4-hydroxyphenyl]-1-methylethyl]phenyl bis(4-nonylphenyl) ester",20227-53-6
DTXSID4044581,2-tert-Butyl-4-ethylphenol,96-70-8
DTXSID7058963,"Phenol, 3-(1,1-dimethylethyl)-4-methoxy-",88-32-4
DTXSID3060405,tert-Butyl methacrylate,585-07-9
DTXSID501018990,Bis(dibutylthiocarbamoyl) sulfide,93-73-2
DTXSID6041262,Titanium(IV) n-butoxide,5593-70-4
DTXSID0042450,Tetrachlorophenol,25167-83-3
DTXSID7026102,Tetrachlorophthalic anhydride,117-08-8
DTXSID8027797,Tetraethylene glycol di(2-ethylhexanoate),18268-70-7
DTXSID7026108,Tetraethylenepentamine,112-57-2
DTXSID00880384,"Benzene, pentafluoro[1,2,2-trifluoro-2-[(trifluoroethenyl)oxy]-1-(trifluoromethyl)ethoxy]-, polymer with tetrafluoroethene and trifluoro(trifluoromethoxy)ethene",26658-70-8
DTXSID80971502,"1,4,4a,9a-Tetrahydroanthracene-9,10-dione",56136-14-2
DTXSID00621259,4-Hydroxy-5-methyltetrahydropyrimidin-2(1H)-one,91815-41-7
DTXSID90860332,"3a-Methyl-3a,4,7,7a-tetrahydro-4,7-methano-2-benzofuran-1,3-dione",31307-24-1
DTXSID3026516,Tetrahydrophthalic anhydride,85-43-8
DTXSID5026122,"N,N,N',N'-Tetramethylethylenediamine",110-18-9
DTXSID3038808,"1,3,5,7-Tetramethyl-1,3,5,7-tetravinylcyclotetrasiloxane",2554-06-5
DTXSID6027634,"1-Propene, tetramer",6842-15-5
DTXSID4042464,Tetrasodium N-(3-carboxylato-1-oxo-2-sulphonatopropyl)-N-octadecyl-L-aspartate,3401-73-8
DTXSID0024341,Toluene diisocyanate,26471-62-5
DTXSID2027389,Toluenesulfonamide,1333-07-9
DTXSID40904452,"Benzenesulfonamide, ar-methyl-, reaction products with formaldehyde",1338-51-8
DTXSID80933988,"Benzenesulfonamide, 4-methyl-, polymer with formaldehyde",25035-71-6
DTXSID7093826,"Benzenesulfonamide, ar-methyl-, polymer with formaldehyde",9008-60-0
DTXSID7045075,Tosylate,16722-51-3
DTXSID7059222,"Benzenesulfonamide, 4-methyl-N-[4-(phenylamino)phenyl]-",100-93-6
DTXSID3027403,Tributyltin chloride,1461-22-9
DTXSID3029659,"Stannane, trichlorooctyl-",3091-25-6
DTXSID8066501,1-Tridecanethiol,19484-26-5
DTXSID20867814,"3,6,9-Trioxapentacosan-1-ol",4484-59-7
DTXSID3026223,Triethylene glycol diacetate,111-21-7
DTXSID1064900,"Decanoic acid, 1,2-ethanediylbis(oxy-2,1-ethanediyl) ester",10024-58-5
DTXSID4059334,"Octanoic acid, 1,2-ethanediylbis(oxy-2,1-ethanediyl) ester",106-10-5
DTXSID9023702,Triethylenetetramine,112-24-3
DTXSID80880201,"Ethene, 1-chloro-1,2,2-trifluoro-, homopolymer",9002-83-9
DTXSID4026262,"Tris(2,3-epoxypropyl)isocyanurate",2451-62-9
DTXSID3029237,3-(Trimethoxysilyl)propyl methacrylate,2530-85-0
DTXSID5044990,"3,3,5-Trimethylcyclohexyl 2-methylprop-2-enoate",7779-31-9
DTXSID1021906,"1,3-Diaminopropane",109-76-2
DTXSID30274136,"2,4,4-Trimethylhexane-1,6-diamine",3236-54-2
DTXSID3029657,"Stannane, chlorotrioctyl-",2587-76-0
DTXSID2059223,"Guanidine, N,N',N''-triphenyl-",101-01-9
DTXSID8058324,"EDTA, tripotassium salt",17572-97-3
DTXSID5026548,"2,4,6-Tris(dimethylaminomethyl)phenol",90-72-2
DTXSID00884089,"Hexanoic acid, 2-ethyl-, compd. with 2,4,6-tris[(dimethylamino)methyl]phenol (3:1)",4572-95-6
DTXSID8070097,"2,4,6-Tris(dimethylaminomethyl)phenol stearic acid salt (1:3)",64426-45-5
DTXSID401014569,Tris(dinonylphenyl) phosphite,1333-21-7
DTXSID7020556,Trisodium ethylenediaminetetraacetate,150-38-9
DTXSID9027075,Trisodium (2-hydroxyethyl)ethylenediaminetriacetate,139-89-9
DTXSID7052789,Sodium trimetaphosphate,7785-84-4
DTXSID8064800,"Trioctadecyl 2-hydroxypropane-1,2,3-tricarboxylate",7775-50-0
DTXSID7063637,Tristearyl phosphate,4889-45-6
DTXSID60984635,Tris{2-[2-(2-hydroxyethoxy)ethoxy]ethyl} phosphate,66160-92-7
DTXSID7029291,Tung oil,8001-20-5
DTXSID00104532,"Fatty acids, tung-oil",72854-17-2
DTXSID501009735,"Urea, polymer with formaldehyde, methylated",68071-45-4
DTXSID2028060,"Fatty acids, vegetable-oil",61788-66-7
DTXSID8095148,"Fats and Glyceridic oils, vegetable, sulfated",61790-19-0
DTXSID00949506,Ethenyl,2669-89-8
DTXSID0074556,"Butanoic acid, ethenyl ester",123-20-6
DTXSID3021435,Vinyl fluoride,75-02-5
DTXSID60184572,Vinyl hexanoate,3050-69-9
DTXSID00947961,"Ethyl prop-2-enoate--1,1-dichloroethene (1/1)",25101-06-8
DTXSID0094449,"2-Propenoic acid, 2-ethylhexyl ester, polymer with 1,1-dichloroethene",28431-58-5
DTXSID80947984,"Methyl 2-methylprop-2-enoate--1,1-dichloroethene (1/1)",25120-29-0
DTXSID80211894,Vinyl pelargonate,6280-03-1
DTXSID9051537,Vinyl propionate,105-38-4
DTXSID20861736,"Octadecanoic acid, ethenyl ester",111-63-7
DTXSID2047018,Ethenesulfonic acid,1184-84-5
DTXSID2093740,"Oils, walnut",8024-09-7
DTXSID4027860,Xylenesulfonic acid,25321-41-9
DTXSID101014558,Yttrium oxide,11130-29-3
DTXSID20933846,O-Butyl hydrogen carbonodithioate--zinc (1/1),150-88-9
DTXSID7047485,Zinc chromate,13530-65-9
DTXSID00890685,"Decanoic acid, zinc salt (2:1)",13040-17-0
DTXSID60893470,(T-4)-Bis[1-(hydroxy-kappa O)methanesulfinato-kappa O]zinc,24887-06-7
DTXSID7042516,Zinc hydroxide,20427-58-1
DTXSID1075018,Zinc isodecanoate,30304-30-4
DTXSID001015446,Zinc linoleate,13014-44-3
DTXSID4060317,Zinc dioleate,557-07-3
DTXSID3064807,Trizinc phosphate,7779-90-0
DTXSID00892245,"Resin acid, zinc salt",9010-69-9
DTXSID6048624,Zinc salicylate,16283-36-6
DTXSID8035976,Zinc silicate,13597-65-4
DTXSID9027819,2-Ethylhexanoic acid zirconium salt (1:x),22464-99-9
DTXSID80104535,"Naphthenic acids, zirconium salts",72854-21-8
DTXSID10896936,"Neodecanoic acid, zirconium salt (1:?)",39049-04-2
DTXSID0051815,"Octanoic acid, zirconium salt (1:x)",18312-04-4
DTXSID90166422,Zirconium stearate,15844-92-5
DTXSID6099221,"Naphthenic acids, cerium(4+) salts",68514-63-6
DTXSID10107877,"Naphthalenesulfonic acid, methyl-, sodium salt (1:1), polymer with formaldehyde",9008-64-4
DTXSID4021131,N-Phenyl-2-naphthylamine,135-88-6
DTXSID7027043,Potassium acetate,127-08-2
DTXSID4044612,Calcium dibenzoate,2090-05-3
DTXSID1044693,Magnesium dibenzoate,553-70-8
DTXSID9029431,Bone meal,68409-75-6
DTXSID6074257,Calcium acetate monohydrate,5743-26-0
DTXSID6049804,Tricalcium silicate,12168-85-3
DTXSID7047514,Calcium sulfate dihydrate,10101-41-4
DTXSID50892174,Calcium sulfate hemihydrate,10034-76-1
DTXSID401010898,"Cellulose, acetate",9004-35-7
DTXSID30109136,"Cellulose, mixt. with cellulose carboxymethyl ether sodium salt",51395-75-6
DTXSID1098547,"Cellulose, regenerated",68442-85-3
DTXSID1027348,Sodium citrate (x:1),994-36-5
DTXSID8042501,Tripotassium citrate monohydrate,6100-05-6
DTXSID1049437,Trisodium citrate dihydrate,4/3/6132
DTXSID2040781,Sodium citrate tribasic hydrate,6858-44-2
DTXSID6099229,"Orange, peel, dried",68514-76-1
DTXSID0050502,Corn flour,68525-86-0
DTXSID7096882,"Syrups, hydrolyzed starch, dehydrated",68131-37-3
DTXSID4052184,Glyceryl dicaprate,53988-07-1
DTXSID2047432,Didodecanoyl glyceride,27638-00-2
DTXSID8049628,Fuller's earth,8031-18-3
DTXSID1098838,"Glues, depolymd.",68476-37-9
DTXSID2049634,Graphite,7782-42-5
DTXSID9035674,Gypsum (Ca(SO4).2H2O),13397-24-5
DTXSID7049637,Hematite,1317-60-8
DTXSID7047431,Dipalmitin,26657-95-4
DTXSID9042041,Glycerol monopalmitate,26657-96-5
DTXSID90873846,Honey,8028-66-8
DTXSID3099200,"Humic acids, potassium salts",68514-28-3
DTXSID9028382,"Humic acids, sodium salts",68131-04-4
DTXSID9051614,Magnesium ferrite,12068-86-9
DTXSID8051623,Iron(III) oxide hydrate,12259-21-1
DTXSID2051421,D-Lactose monohydrate,64044-51-5
DTXSID2029296,"Lecithins, soya",8030-76-0
DTXSID5040170,Licorice extract,68916-91-6
DTXSID2093950,"Lime (chemical), dolomitic",12001-27-3
DTXSID0052885,Magnesium trisilicate hydrated,1343-90-4
DTXSID50904706,Magnesium trisilicate,14987-04-3
DTXSID5040544,Magnesium sufate heptahydrate,10034-99-8
DTXSID4096863,"Meat, meal",68131-12-4
DTXSID6051225,Montmorillonite,1318-93-0
DTXSID3049675,Mullite,1302-93-8
DTXSID70107797,Nepheline syenite,37244-96-5
DTXSID90107830,"Proteins, oat",134134-87-5
DTXSID0027353,Ammonium stearate,1002-89-7
DTXSID70864338,"2,3-Dihydroxypropyl 2,3-dideoxy-2-hexadecylpentonate",12694-22-3
DTXSID3042003,Glycerol 1-monooleate,111-03-5
DTXSID1042233,Dioctanoin,36354-80-0
DTXSID3027451,Sodium octanoate,1984-06-1
DTXSID9047671,Dioleoylglycerol,25637-84-7
DTXSID3049706,"Perlite, expanded",93763-70-3
DTXSID8047715,Potassium bisulfate,7646-93-7
DTXSID9052507,Potassium octanoate,764-71-6
DTXSID401009132,"1,2,3-Propanetriol, homopolymer, (9Z)-9-octadecenoate",9007-48-1
DTXSID10904484,Sawdust,NOCAS_904484
DTXSID70893966,Magnesium silicate (Mg(SiO3)),13776-74-4
DTXSID8049707,Sodium potassium aluminum silicate,12736-96-8
DTXSID7026021,Sodium aluminosilicate,1344-00-9
DTXSID50930429,"16,28-Dihydroxy-23,28-dioxoolean-12-en-3-yl hexopyranosiduronic acid",1393-03-9
DTXSID6093675,Sperm oil,8002-24-2
DTXSID6029701,Potassium sulfate,7778-80-5
DTXSID80228003,Disodium sulfate decahydrate,7727-73-3
DTXSID50102008,Sunflower meal,68937-99-5
DTXSID5052179,Glyceryl dimyristate,53563-63-6
DTXSID1042318,Potassium myristate,13429-27-1
DTXSID7047489,Vermiculite,1318-00-9
DTXSID9051458,Vitamin E (mixture of tocopherols and tocotrienols),1406-18-4
DTXSID30108669,"Fats and Glyceridic oils, wheat germ",313258-61-6
DTXSID9051612,Zinc iron oxide,12063-19-3
DTXSID5029849,"Acetic acid, C9-11-branched alkyl esters, C10-rich",108419-34-7
DTXSID30107814,"Alcohols, lanolin, sterol-low, acetylated",91994-94-4
DTXSID9050436,Poly(acrylamide-co-acrylic acid),9003-06-9
DTXSID6052877,"2-Propenoic acid, telomer with sodium 4-ethenylbenzenesulfonate (1:1), sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate (1:1) and sodium sulfite (1:1), sodium salt",151006-66-5
DTXSID0094100,"2-Propenoic acid, polymer with butyl 2-propenoate",25119-83-9
DTXSID201012448,"2-Propenoic acid, polymer with ethyl 2-propenoate, N-(hydroxymethyl)-2-propenamide and 2-propenenitrile",26604-01-3
DTXSID401013359,"2-Propenoic acid, telomer with sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate (1:1) and sodium sulfite (1:1), sodium salt",97953-25-8
DTXSID50107795,"2-Propenoic acid, 2-methyl-, octadecyl ester, polymer with 2-propenoic acid",27756-15-6
DTXSID8040438,Calcium pantothenate,137-08-6
DTXSID301012403,"Poly(oxy-1,2-ethanediyl), .alpha.-(carboxymethyl)-.omega.-hydroxy-, C12-15-alkyl ethers, sodium salts",70632-06-3
DTXSID0041935,"Alcohols, C12-20, ethoxylated",68526-94-3
DTXSID6052875,"Poly(oxy-?1,?2-?ethanediyl)?, alpha-?sulfo-?omega-?hydroxy-?, C8-?10-?alkyl ethers, ammonium salts",68891-29-2
DTXSID8041589,"Alcohols, C9-11, propoxylated",68920-69-4
DTXSID10106885,"Alcohols, C9-11-iso-, C10-rich, ethoxylated propoxylated",154518-36-2
DTXSID4041945,"Alcohols, C9-16, ethoxylated",97043-91-9
DTXSID701010980,"Alkenes, C>10 .alpha.-, polymd.",68527-08-2
DTXSID7044552,Aluminum hydroxide acetate (1:1:2),142-03-0
DTXSID9052268,Aluminium trioctanoate,6028-57-5
DTXSID9098305,"Amides, coco, ethoxylated",68425-44-5
DTXSID9051244,Ammonium bisulfate,7803-63-6
