DTXSID,true_chemname,true_cas,esc
DTXSID3065299,Calcium bis(4-((1-(((2-methylphenyl)amino)carbonyl)-2-oxopropyl)azo)-3-nitrobenzenesulphonate),12286-66-7,Substances_in_contact_with_food; Product_manufacturing
DTXSID3065320,"Octadecyl hydrogen sulphate, magnesium salt",13006-05-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3068702,"1H-Indole, 2-(4-dodecylphenyl)-",52047-59-3,Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID3073137,Chlorate,14866-68-3,Bottled_and_finished_water_for_consumption; Substances_in_contact_with_food
DTXSID3074608,"Acetic acid, 2-methoxy-, methyl ester",6290-49-9,Artificial_liquids; Chemicals_that_emit_or_offgas; Children_products_and_toys
DTXSID3074947,Halosulfuron,135397-30-7,Active_ingredient_in_products; Pesticides; Food
DTXSID3074991,D-Arabinonic acid,488-30-2,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30858738,"(Z)-1,3-Dimethylcyclohexane",638-04-0,Air_near_source; Chemicals_that_emit_or_offgas; General_consumer_product
DTXSID30858793,alpha-Humalene,6753-98-6,Air_near_source; Chemicals_that_emit_or_offgas; General_consumer_product
DTXSID30860336,"Benzene, 1,2-bis(1-methylethyl)-",577-55-9,Air_near_source; Chemicals_that_emit_or_offgas; General_consumer_product
DTXSID30860816,5(Z)-Dodecenyl acetate,16676-96-3,Active_ingredient_in_products; Pesticides
DTXSID30861707,"Tri(2-methyl-2,4-pentanediol)biborate",100-89-0,Active_ingredient_in_products; Pesticides
DTXSID30862693,Dicyclohexyl peroxydicarbonate,1561-49-5,Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID30863483,"4-Thiazolidinecarboxylic acid, 3-acetyl-",5025-82-1,Active_ingredient_in_products; Pesticides
DTXSID30865508,"Octanoic acid, hexadecyl ester",29710-31-4,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID30871361,"2-Methylhexa-2,4-diene",28823-41-8,Air_near_source; Chemicals_that_emit_or_offgas; General_consumer_product
DTXSID30872499,Metasilicic acid,7699-41-4,General_consumer_product; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID30872954,Dichromic acid,13530-68-2,Active_ingredient_in_products; Pesticides
DTXSID30873067,"8-Isopropyl-1,3-dimethyltricyclo(4.4.0.02,7)dec-3-ene",3856-25-5,Air_near_source; Household_care_and_cleaning_products; Chemicals_that_emit_or_offgas; General_consumer_product
DTXSID30873789,2-Hydroxyibuprofen,51146-55-5,Pharmaceutical; Surface_water
DTXSID30873865,Polyoxin D,22976-86-9,Active_ingredient_in_products; Pesticides
DTXSID30873901,Sodium phosphinate,7681-53-0,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID30878613,Quassin,76-78-8,Active_ingredient_in_products; Pesticides
DTXSID30880478,Sodium heptadecyl sulfate,5910-79-2,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30881945,"Poly(difluoromethylene), .alpha.-(cyclohexylmethyl)-.omega.-hydro-",65530-85-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30886374,"Cyclopropanecarboxylic acid, 3-(2,2-dichloroethenyl)-2,2-dimethyl-, methyl ester, (1R,3R)-rel-",59897-93-7,Pesticides; Surface_water
DTXSID30888499,"2-Naphthalenesulfonic acid, 7-(benzoylamino)-4-hydroxy-3-[2-[4-[2-(4-sulfophenyl)diazenyl]phenyl]diazenyl]-, compd. with 2,2',2''-nitrilotris[ethanol] (1:2)",75768-93-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30889406,"Phosphorous trichloride, reaction products with 1,1'-biphenyl and 2,4-bis(1,1-dimethylethyl)phenol",119345-01-6,Bottled_and_finished_water_for_consumption; Product_manufacturing; Substances_in_contact_with_food
DTXSID30889825,"Phosphoric acid, monobutyl ester, sodium salt (1:2)",64114-42-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30890592,Calcium dodecanoate,4696-56-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30891165,Polyoxyethylene monoeicosyl ether,26636-39-5,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID30891307,Polyethyleneglycol palmitate,9004-94-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30891342,"Benzoic acid, 2,3,4,5-tetrachloro-6-cyano-, methyl ester, reaction products with p-phenylenediamine and sodium methoxide",106276-80-6,Substances_in_contact_with_food; Product_manufacturing
DTXSID30891983,Avocado oil,8024-32-6,Active_ingredient_in_products; Pesticides; Children_products_and_toys; Personal_care; Household_care_and_cleaning_products; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID30891988,Polysorbate 65,9005-71-4,Active_ingredient_in_products; Pesticides; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pharmaceutical
DTXSID30892016,PEG-120 methyl glucose trioleate,1338929-66-0,Children_products_and_toys; Personal_care
DTXSID30893008,Decyl D-glucopyranoside,54549-25-6,Personal_care; Children_products_and_toys; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID30893023,Borage seed oil,225234-12-8,Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30893048,Dodecyl D-glucopyranoside,27836-64-2,Personal_care; Children_products_and_toys
DTXSID30893088,2-?Hexanol,626-93-7,Air_near_source; Chemicals_that_emit_or_offgas; General_consumer_product; Artificial_liquids; Children_products_and_toys
DTXSID30893604,Oxathiapiprolin,1003318-67-9,Active_ingredient_in_products; Pesticides
DTXSID30893861,"(2E,13Z)-2,13-Octadecadien-1-yl acetate",86252-74-6,Active_ingredient_in_products; Pesticides
DTXSID30894454,"Siloxanes and Silicones, Me hydrogen",63148-57-2,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30894535,"Butanedioic acid, 2-sulfo-, C-(2-coco amido-1-methylethyl) esters, disodium salts",68515-65-1,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30894575,"Oils, fenugreek",68990-15-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30894631,"Copper, [29H,31H-phthalocyaninato(2-)-.kappa.N29,.kappa.30,.kappa.31,.kappa.32]-, [[3-(1-methylethoxy)propyl]amino]sulfonyl derivs.",81457-65-0,Product_manufacturing; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30894651,"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-[(1-oxooctadecyl)oxy]-, ether with D-glucitol (6:1)",9011-29-4,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID30894797,Triclopyr choline,1048373-85-8,Active_ingredient_in_products; Pesticides
DTXSID30894939,"Amines, tall-?oil alkyl, (2,?4-?dichlorophenoxy)?acetates",137335-70-7,Active_ingredient_in_products; Pesticides
DTXSID30895082,"1,3-Butadiene, polymer with 2-propenenitrile",9003-18-3,Substances_in_contact_with_food; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID30895103,"Acetic acid ethenyl ester, polymer with chloroethene",9003-22-9,Substances_in_contact_with_food; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID30895784,Pyrophyllite,12269-78-2,Inert_ingredient_in_products; Pesticides; Personal_care; Pharmaceutical
DTXSID30895800,"5-(((2,6-Difluorophenyl)methoxy)methyl)-4,5-dihydro-5-methyl-3-(3-methyl-2-thienyl)isoxazole",403640-27-7,Active_ingredient_in_products; Pesticides
DTXSID30895805,Copper acetate,4180-12-5,Bottled_and_finished_water_for_consumption; Product_manufacturing
DTXSID30896796,Enalapril maleate,76095-16-4,Active_ingredient_in_products; General_consumer_product
DTXSID30896892,Azadirachtin B,95507-03-2,Food; Pesticides
DTXSID30897061,Dimethicone,9006-65-9,Children_products_and_toys; Personal_care; General_consumer_product; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30897066,"2-Oxepanone, homopolymer",24980-41-4,Arts_and_crafts_or_office_supplies; Substances_in_contact_with_food
DTXSID30897324,Canadian fir needle oil,8021-28-1,Inert_ingredient_in_products; Pesticides
DTXSID30903999,Trimethylbenzyl ammonium resin,69011-15-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30904249,Pirlimycin,79548-73-5,General_consumer_product; Pharmaceutical
DTXSID30905857,Sodium heptonate--water (1/1/2),10094-62-9,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30914383,Sodium (4-aminobenzene-1-sulfonyl)(quinoxalin-2-yl)azanide,967-80-6,Active_ingredient_in_products; Pesticides
DTXSID30915092,"1H-Imidazolium, 1-ethenyl-3-methyl-, chloride, polymer with 1-ethenyl-2-pyrrolidinone",95144-24-4,Children_products_and_toys; Personal_care
DTXSID30923516,Methyl naphthalene-1-sulfonate--propan-2-amine (1/1),12068-04-1,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30926007,Phosphoric acid--butan-1-ol (1/1),12788-93-1,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3093654,C.I. Natural Red 4:1,1328-60-5,Children_products_and_toys; Personal_care; Food; Pharmaceutical
DTXSID3093656,Pumice,1332-09-8,Personal_care; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID3093810,Calcium alginate,9005-35-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3093814,"Rubber, chlorinated",3/5/9006,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3094046,"2-Propenoic acid, methyl ester, polymer with 2-propenenitrile",24968-79-4,Substances_in_contact_with_food; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID3094125,"2-Propenoic acid, polymer with 2-propenenitrile",25214-69-1,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3094252,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with butyl 2-propenoate and 2-propenoic acid",26300-51-6,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3094624,"2-Butenedioic acid (2Z)-, 1-(1-methylethyl) ester, polymer with methoxyethene",31307-95-6,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID30950943,1-Ethenylpyrrolidin-2-one--icos-1-ene (1/1),28211-18-9,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID30953257,2-(Naphthalen-1-yl)propanoic acid,3117-51-9,Active_ingredient_in_products; Pesticides
DTXSID3095692,Fatty acids,67254-79-9,Active_ingredient_in_products; Pesticides; Artificial_liquids; Chemicals_that_emit_or_offgas; Children_products_and_toys; Household_care_and_cleaning_products; Inert_ingredient_in_products; Labeled_for_nonfood_use
DTXSID3095852,"Soybean oil, polymer with glycerol, maleic anhydride, pentaerythritol and phthalic anhydride",67762-12-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3096242,"Soybean oil, polymer with pentaerythritol, TDI and tung oil",67989-28-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3096298,"Benzene, dodecylphenoxy-, disulfo deriv.",67993-50-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3096537,"Castor oil, dehydrated, polymer with p-tert-butylbenzoic acid, glycerol and phthalic anhydride",68071-54-5,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID3096876,"Soybean oil, polymer with phthalic anhydride, trimellitic anhydride and trimethylolpropane",68131-29-3,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID3096907,"Fatty acids, soya, calcium salts",68131-65-7,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3097137,"Rosin, fumarated, polymer with ethylene glycol",68152-55-6,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3097139,"Rosin, fumarated, polymer with ethylene glycol and pentaerythritol",68152-57-8,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID3097503,"Lignin, alkali, oxidized, sodium salt",68201-23-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30975297,"2,6,6,9-Tetramethyltricyclo[5.4.0.0~2,8~]undec-9-ene",5989-08-2,Air_near_source; Chemicals_that_emit_or_offgas; General_consumer_product
DTXSID3097719,"Lard, ethoxylated",68309-36-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30977418,Methyl glucoside propoxylate,61849-72-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3097842,Ammonium polyphosphates,68333-79-9,Product_manufacturing; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID3098078,"Fatty acids, tallow, hydrogenated, ethoxylated propoxylated",68410-38-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3098311,"Phosphoric acid, mixed decyl and octyl esters, compds. with diethanolamine",68425-57-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3098319,"Residues (petroleum), catalytic reformer fractionator, sulfonated, polymers with formaldehyde, sodium salts",68425-94-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30983958,"Copper(2+) sodium 2-oxidopropane-1,2,3-tricarboxylate (1:2:1)",65330-59-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30987350,"4-Dodecylbenzene-1-sulfonic acid--ethane-1,2-diamine (1/1)",67952-66-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3099092,"Soybean oil, polymer with dicyclopentadiene",68512-79-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3099200,"Humic acids, potassium salts",68514-28-3,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID30994206,"2,2',2'',2'''-(Ethane-1,2-diyldinitrilo)tetraacetic acid--N-methylmethanamine (1/1)",73455-30-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3099622,"Glycerides, tallow mono- and di-, hydrogenated, ethoxylated",68553-11-7,Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID3099755,"Siloxanes and Silicones, di-Me, polymers with Me silsesquioxanes and polyethylene-polypropylene glycol mono-Bu ether",68554-65-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID30999059,"2-Octyl-3a,4,7,7a-tetrahydro-1H-4,7-methanoisoindole-1,3(2H)-dione",7786-80-3,Active_ingredient_in_products; Pesticides
DTXSID401000154,Magnesium 2-carboxylatobenzoate--2-carbonoperoxoylbenzoic acid (1/1/1),78948-87-5,Active_ingredient_in_products; Pesticides
DTXSID40100174,"Fatty acids, tall-oil, polymers with bisphenol A, epichlorohydrin, rosin and tung oil",68605-57-2,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID40100215,"Fatty acids, vegetable-oil, potassium sodium salts",68606-06-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40100750,"Resin acids and Rosin acids, ammonium salts",68649-89-8,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401009132,"1,2,3-Propanetriol, homopolymer, (9Z)-9-octadecenoate",9007-48-1,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID401009463,"Poly(oxy-1,2-ethanediyl), alpha-(3-(3-(2H-benzotriazol-2-yl)-5-(1,1-dimethylethyl)-4-hydroxyphenyl)-1-oxopropyl)-omega-hydroxy-",104810-47-1,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401009499,"Fatty acids, C9-11-branched, glycidyl esters, polymers with castor oil, formaldehyde, 6-phenyl-1,3,5-triazine-2,4-diamine and phthalic anhydride",68459-31-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401009651,Poly(vinyl butyral-vinyl alcohol-vinyl acetate),27360-07-2,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401009687,"Oxirane, 2-methyl-, polymer with oxirane, methyl 2-propen-1-yl ether",52232-27-6,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401009699,"Poly(oxy-1,2-ethanediyl), .alpha.-(octylphenyl)-.omega.-hydroxy-",9063-89-2,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401009718,"2-Propenoic acid, 2-methyl-, butyl ester, homopolymer",9003-63-8,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401009744,"Fatty acids, tall-oil, ammonium salts",68132-50-3,Active_ingredient_in_products; Pesticides
DTXSID401009794,"Oils, sandalwood",8006-87-9,General_consumer_product; Personal_care
DTXSID401009801,"Oils, Artemisia",8022-37-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401009837,"Oils, costus",8023-88-9,Active_ingredient_in_products; Pesticides
DTXSID401010850,Cork,61789-98-8,Substances_in_contact_with_food; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID401010862,Collagenase,9001-12-1,Personal_care; General_consumer_product; Pharmaceutical
DTXSID401010898,"Cellulose, acetate",9004-35-7,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID401010955,"Ethene, ethoxy-, homopolymer",25104-37-4,Substances_in_contact_with_food; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401011139,"2-Butenedioic acid (2Z)-, polymer with methoxyethene",25153-40-6,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID401011153,"Oxirane, 2-methyl-, polymer with oxirane, octyl ether",61827-84-7,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID401011177,"2-Pyrrolidinone, 1-ethenyl-, polymer with ethenylbenzene",25086-29-7,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID401011246,"Formaldehyde, polymer with 2-methyloxirane and 4-nonylphenol",37523-33-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401011365,"2-Butenedioic acid (2Z)-, 1-ethyl ester, polymer with methoxyethene",25087-06-3,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID401011391,"1,3,5-Triazine-2,4,6-triamine, polymer with formaldehyde, methylated",68002-20-0,Substances_in_contact_with_food; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID401011715,"Benzenesulfonic acid, ethenyl-, sodium salt (1:1), polymer with diethenylbenzene",63182-08-1,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401011860,"Poly(oxy-1,2-ethanediyl), .alpha.-(carboxymethyl)-.omega.-(4-nonylphenoxy)-, branched",150678-63-0,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401012006,"2-Propenoic acid, polymer with 2-hydroxypropyl 2-propenoate and sodium 2-propenoate (1:1)",86864-96-2,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID401012018,"Poly(oxy-1,2-ethanediyl), .alpha.-(carboxymethyl)-.omega.-(dodecyloxy)-, sodium salt (1:1)",33939-64-9,Children_products_and_toys; Personal_care; Household_care_and_cleaning_products; Vehicles; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401012270,"Poly(oxy-1,2-ethanediyl), .alpha.-phosphono-.omega.-hydroxy-, C13-15-alkyl ethers, disodium salts",73050-09-6,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID401012313,"2-Propenoic acid, polymer with butyl 2-propenoate, chloroethene and N-(hydroxymethyl)-2-propenamide",35239-21-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401012363,"Poly(oxy-1,2-ethanediyl), .alpha.-(nonylphenyl)-.omega.-hydroxy-, branched, phosphates, sodium salts",68954-84-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401012420,"Ethanol, 2-amino-, compd. with .alpha.-(nonylphenyl)-.omega.-hydroxypoly(oxy-1,2-ethanediyl) phosphate",59139-23-0,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID401013359,"2-Propenoic acid, telomer with sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate (1:1) and sodium sulfite (1:1), sodium salt",97953-25-8,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID401013773,"1,3-Benzenedicarboxylic acid, polymer with 1,3-dihydro-1,3-dioxo-5-isobenzofurancarboxylic acid and 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, (9Z,12Z)-9,12-octadecadienoate",64382-04-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401014052,"1,3-Naphthalenedisulfonic acid, 7-[2-[4-[2-(6-amino-1-hydroxy-3-sulfo-2-naphthalenyl)diazenyl]-5-methoxy-2-methylphenyl]diazenyl]-, lithium potassium sodium salt, compd. with 2,2',2''-nitrilotris[ethanol] (1:?:?:?:?)",79255-97-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401014345,"Almond, sweet, ext.",90320-37-9,Children_products_and_toys; Personal_care
DTXSID401014907,E)-Dodec-10-enyl acetate,35153-09-4,Active_ingredient_in_products; Pesticides
DTXSID401015779,Zinc phosphide,51810-70-9,Active_ingredient_in_products; Pesticides; Food; General_consumer_product
DTXSID40101686,"Terpenes and Terpenoids, lime-oil",68917-71-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID401016939,"Clopyralid, triethylamine salt",119308-91-7,Active_ingredient_in_products; Pesticides
DTXSID401017737,gamma-Muurolene,30021-74-0,Air_near_source; Chemicals_that_emit_or_offgas; General_consumer_product
DTXSID401018161,Docosahexaenoic acid,25167-62-8,Personal_care; General_consumer_product
DTXSID401018678,"Alum, potassium",7784-24-9,Active_ingredient_in_products; Pesticides
DTXSID401018747,Onion extract,8054-39-5,Active_ingredient_in_products; Pesticides; Personal_care
DTXSID40102052,"Siloxanes and Silicones, di-Me, 3-hydroxypropyl Me, ethers with polyethylene glycol mono-Me ether",68938-54-5,Substances_in_contact_with_food; Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID40103064,"Tall oil, calcium zinc salt",69278-92-8,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40103903,"Nonene, hydroformylation products, high-boiling, sulfated, sodium salts",71243-86-2,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40104319,"Coconut oil, polymer with isophthalic acid, trimellitic anhydride and trimethylolpropane",72245-05-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40104773,"Sulfuric acid, mono-C12-16-alkyl esters, sodium salts",73296-89-6,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40104814,"Fatty acids, tall-oil, polymers with bisphenol A, diethylenetriamine, epichlorohydrin and triethylenetetramine",73807-20-2,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40105280,"Iron, C3-13-carboxylate naphthenate complexes",85763-69-5,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40105301,"Naphthalenesulfonic acids, polymers with formaldehyde, sodium salts",86352-09-2,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40106075,"Siloxanes and Silicones, 3-hydroxypropyl Me, ethers with polyethylene glycol mono-Me ether",117272-76-1,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID40106712,"Amines, tallow alkyl, ethoxylated, compds. with polyethylene glycol hydrogen sulfate nonylphenyl ether",148373-01-7,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40107784,"Oils, mink",8023-74-3,Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40107789,C.I. Direct Blue 199,12222-04-7,Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40107800,"Fatty acids, tall oil, pentaesters with sorbitol, ethoxylated",61790-92-9,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID40107805,"2-Propenoic acid, 2-methyl-, octadecyl ester, polymer with isooctyl 2-propenoate and 2-propenoic acid",70425-89-7,Inert_ingredient_in_products; Pesticides; Labeled_for_nonfood_use
DTXSID40107820,"Naphtha, thermal-cracked, residues, naphthalene cut, sulfonated, polymer with formaldehyde, sodium salts",108171-28-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40107825,"2-Propenoic acid, 2-methyl-, cyclohexyl ester, polymer with 2-hydroxyethyl 2-methyl-2-propenoate, isodecyl 2-methyl-2-propenoate and 2-(4-morpholinyl)ethyl 2-methyl-2-propenoate",119239-21-3,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40108473,"Benzenesulfonic acid, dodecyl-, branched, compds. with N1,N1-dimethyl-1,3-propanediamine (2:1)",319926-68-6,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40109167,"Spearmint, ext.",84696-51-5,Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40109182,"Zeolites, AgZn",130328-20-0,Active_ingredient_in_products; Pesticides
DTXSID40109187,Sollac PPA,136303-47-4,Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40110036,L-Ascorbic acid calcium salt (2:1),5743-27-1,Food_supplement; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40110056,Cinnamic acid,621-82-9,Air_near_source; Household_care_and_cleaning_products; Chemicals_that_emit_or_offgas; Pharmaceutical
DTXSID40146799,"Isopulegol, (+)-",104870-56-6,Active_ingredient_in_products; Pesticides
DTXSID40146911,"5,6,7,8-Tetrahydroquinoline",10500-57-9,Pharmaceutical; Product_manufacturing
DTXSID40149902,"2,5-Pyrrolidinedione, 1-methyl-",1121-07-9,Artificial_liquids; Chemicals_that_emit_or_offgas; Children_products_and_toys
DTXSID40150270,"2-[4,6-Bis(difluoromethoxy)pyrimidin-2-ylcarbamoylsulfamoyl]benzoic acid",113036-87-6,Active_ingredient_in_products; Pesticides; Food
DTXSID40152855,Dichlorobenzyl alcohol,12041-76-8,General_consumer_product; Personal_care
DTXSID40158933,"Heptane, 5-ethyl-2-methyl-",13475-78-0,Air_near_source; Chemicals_that_emit_or_offgas; Vehicles
DTXSID40173484,"2,7-Dimethyl-2,7-octanediol",19781-07-8,Air_near_source; Household_care_and_cleaning_products; Chemicals_that_emit_or_offgas
DTXSID40175084,Pentachlorobenzonitrile,20925-85-3,Crops_and_animal_feed; Pesticides
DTXSID40193405,Aluminum myristate,4040-50-0,Personal_care; Inert_ingredient_in_products; Labeled_for_nonfood_use; Pesticides
DTXSID40194957,Carnidazole,42116-76-7,Active_ingredient_in_products; General_consumer_product; Pharmaceutical
DTXSID4020080,Ammonium hydroxide,1336-21-6,Active_ingredient_in_products; Pesticides; Vehicles; Occupational_products; Inert_ingredient_in_products; Labeled_for_nonfood_use
